	soil A	soil B	soil C	soil D	viable cells A	viable cells B	viable cells C	viable cells D	Live-FISH A	Live-FISH B	Live-FISH C	Live-FISH D
ASV1	66	70	35	52	28	32	15	19	31	24	38	32
ASV2	4045	3301	3437	3453	9025	8260	10216	9806	373	425	318	546
ASV3	112	110	84	121	1059	1163	1060	798	9029	10576	11768	4041
ASV4	2352	2990	2767	2647	912	924	455	2095	6043	5646	3172	9207
ASV5	35	27	48	66	2816	2275	2190	192	6188	5451	6171	346
ASV6	7646	8330	8198	6574	774	711	311	2011	42	43	75	52
ASV7	1274	1533	1293	1443	773	682	339	1541	4366	3895	2473	6252
ASV8	1052	813	1089	877	3436	3869	3279	2213	34	0	47	0
ASV9	597	620	539	552	2613	2898	3170	2238	0	0	74	105
ASV10	838	635	773	709	2953	2669	3214	2512	51	53	75	69
ASV11	3545	3196	3591	2821	928	1060	955	573	48	78	44	44
ASV12	350	237	173	265	1312	1566	1278	1120	3070	3313	3223	1174
ASV13	1736	1318	1993	1320	2276	2588	2499	1255	67	76	146	82
ASV14	2983	3158	3321	2818	99	133	378	382	27	14	31	18
ASV15	545	521	412	676	891	879	720	849	3113	2781	2486	1992
ASV16	44	32	39	25	87	72	73	29	4	2	6	0
ASV17	93	73	98	126	2689	3217	2935	894	600	542	560	221
ASV18	567	516	614	447	2675	2732	2544	1957	125	160	161	116
ASV19	422	501	351	646	1373	1527	1469	2949	255	227	255	257
ASV20	95	107	89	99	106	99	94	285	0	0	0	35
ASV21	89	110	113	115	91	74	91	215	88	75	105	204
ASV22	40	23	26	23	58	68	65	23	0	0	8	5
ASV23	1426	998	1636	1189	864	1298	1957	651	50	72	80	18
ASV24	1152	727	791	862	1079	1732	1262	1479	549	669	648	448
ASV25	87	65	84	87	1484	1388	1589	752	293	366	346	236
ASV26	388	315	242	370	1179	1257	1210	1356	1256	1040	1334	1102
ASV27	631	719	690	672	1296	997	1379	1686	11	9	25	20
ASV28	1120	1286	1324	1106	740	671	1239	699	6	11	18	8
ASV29	58	40	25	0	285	266	209	278	2899	2877	3341	1310
ASV30	327	389	298	340	753	670	522	1751	1400	1391	924	2367
ASV31	81	86	60	74	855	1101	770	335	1894	2348	2046	579
ASV32	143	148	175	122	1068	897	1264	191	1355	1307	2382	388
ASV33	279	211	309	263	1590	1635	1298	1301	362	565	691	174
ASV34	1075	891	889	931	1190	1141	1354	770	12	10	16	8
ASV35	425	497	533	516	1203	1209	1365	1625	15	0	28	15
ASV36	2623	3108	3088	2484	190	239	112	555	26	30	18	35
ASV37	884	1046	907	1001	210	247	80	510	1424	1501	605	2174
ASV38	425	351	361	285	326	293	330	384	1668	1644	2107	1973
ASV39	522	386	492	485	1379	1220	1288	1032	144	156	211	126
ASV40	657	610	606	671	1644	1444	1729	708	15	15	28	28
ASV41	400	351	399	364	571	513	395	418	1217	1560	1388	1014
ASV42	215	318	351	386	1154	1043	1039	289	0	18	22	24
ASV43	242	236	237	221	322	286	370	288	1450	1401	2595	1173
ASV44	0	0	0	47	258	200	193	159	2104	2133	2641	487
ASV45	149	164	147	209	316	240	190	578	1540	1081	1072	2190
ASV46	43	0	41	36	971	894	796	1032	27	65	23	47
ASV47	278	413	359	353	368	315	217	906	1127	1089	594	2238
ASV48	119	130	108	170	1945	1619	1663	558	5	0	10	6
ASV49	1597	2112	1797	1563	237	262	140	691	0	0	34	0
ASV50	390	404	468	341	1209	1214	893	598	342	421	357	206
ASV51	337	314	304	261	228	204	217	339	1276	1212	1541	1428
ASV52	237	271	180	229	503	447	538	214	1053	1148	1752	512
ASV53	633	686	722	706	282	152	122	515	726	650	482	1456
ASV54	351	293	330	280	1219	1398	992	508	51	41	57	22
ASV55	282	289	354	295	945	1003	894	776	95	141	176	76
ASV56	405	349	533	355	1035	754	630	427	0	4	12	14
